dish_ID,Fat to Protein,Carb to Protein
dish_1566838407,1.009679531,6.414281696
dish_1559319860,1.135135135,0.037837838
dish_1559242568,0.25,37.99999877
dish_1563824339,1.948045758,5.755481411
dish_1567021831,1.198264836,0.362280444
dish_1559846099,1.904526665,2.043834417
dish_1562873155,1.48005698,3.888888889
dish_1562094621,0.055555556,3.888888889
dish_1563900150,1.160964317,0.936858629
dish_1562086702,1.135135135,0.037837838
dish_1564429894,0.468004933,2.911679288
dish_1561662458,1.516317511,6.574838214
dish_1558720364,0.666666667,46.66666432
dish_1559845290,0.05,8.5
dish_1559844506,0.349847561,19.13109756
dish_1560360055,1.231857083,0.184155703
dish_1567106825,1.255873114,0.249443814
dish_1562099053,0.839285714,2.991071429
dish_1560453380,0.363389216,0.608058722
dish_1566849327,0.567033088,0.269765238
dish_1560527191,1.32039939,0.841570876
dish_1563898786,1.331451264,0.483478025
dish_1560973958,1.441047086,4.807151311
dish_1558546663,2.085463824,2.854825017
dish_1563206582,0.169670973,0.651755261
dish_1565207815,0.382145437,2.6485306
dish_1568305257,1.257790187,0.178849942
dish_1568314823,7.500000556,4.5
dish_1565119464,0.824115021,1.58384478
dish_1565725047,5.11627907,9.906976744
dish_1559841163,0.861438107,1.301895589
dish_1563568338,0.764778977,1.488169439
dish_1563468299,0.378876858,3.265186273
dish_1558027001,0.166666667,12.66666667
dish_1565033265,1.387130865,0.250469604
dish_1563475921,0.339594248,1.371995707
dish_1561665024,3.261835991,4.178977168
dish_1563813308,1.072651836,0.2544737
dish_1561062555,3.062635979,4.286492004
dish_1558723414,0.774193548,7.096774194
dish_1562691674,0.428142955,1.607608421
dish_1566591080,0.42014579,0.187112326
dish_1564082462,0.294716847,0.372468132
dish_1562602860,0.55085613,2.041330217
dish_1561739954,1.043534698,1.075763483
dish_1558638983,0.774193548,7.096774194
dish_1558631825,0.774193548,7.096773906
dish_1564689108,3.218702866,2.668989094
dish_1563216440,0.14482342,0.891848017
dish_1559240908,0.111111111,13.33333333
dish_1563395480,0.48373497,1.091139205
dish_1559235815,0.829597369,1.596328028
dish_1565640272,0.839855063,3.003623491
dish_1565898158,0.406450822,0.40472289
dish_1565022062,0.147689002,1.603642697
dish_1558719994,2.209821247,1.013392789
dish_1562960520,0.665420091,1.073460354
dish_1560441270,0.075449102,6.352095808
dish_1561663855,0.483766137,0.942619523
dish_1563389199,0.501495094,4.255806972
dish_1566488928,1.672585424,15.05808561
dish_1558031302,0.05,8.5
dish_1558723926,0.222222222,4.333333333
dish_1563392128,0.890205994,0.306994282
dish_1563910171,0.508982421,0.465200737
dish_1560368464,0.621745078,0.578533768
dish_1560368990,0.666059551,0.960331874
dish_1562958563,1.197229713,0.329247365
dish_1561579617,1.028339958,4.769414817
dish_1566333167,0.714548341,1.558748416
dish_1565033139,3.197338746,3.914298376
dish_1563551194,0.504469844,2.071304349
dish_1563464480,1.315104794,3.112262226
dish_1567020054,0.812102522,0.558579301
dish_1568649387,2.110165681,11.33751713
dish_1565370004,1.129557466,0.304784868
dish_1566499633,4.690368007,2.786572525
dish_1559849412,2.209821267,1.013392783
dish_1558719336,0.166666667,2.777777778
dish_1562602657,1.811756953,1.275101102
dish_1558116201,1.414507772,0.21761658
dish_1559668314,1.813834039,1.56082724
dish_1557861697,0.2,5.9
dish_1558721484,0.222222222,4.333333333
dish_1565379251,1.331623774,11.10215529
dish_1563306392,0.179747806,0.073422875
dish_1559843335,0.428571429,11.42857143
dish_1558549214,0.12640056,9.431898459
dish_1562775488,0.018457944,1.452453388
dish_1562787956,0.65625,1.34375
dish_1562775212,0.583333333,5
dish_1560801773,0.166666667,2.777777778
dish_1559238435,0.25,37.99999876
dish_1562008813,2.582480715,2.586873497
dish_1568061202,0.812517531,4.147255538
dish_1560445069,0.2,18.19999918
dish_1566502573,0.844048567,1.186150633
dish_1563900172,1.09851258,1.558188122
dish_1562785132,0.849605542,0.358922424
dish_1565383097,0.518341593,0.266537378
dish_1559233102,1.099999911,0.159999987
dish_1560357427,0.2,18.2
dish_1568401261,0.673381033,0.883752417
dish_1558031628,0.25,10
dish_1558029148,0.2,18
dish_1558461431,0.137931034,1.24137931
dish_1562790824,0.999390151,0.38656054
dish_1558718610,0.774193548,7.096773892
dish_1562959129,0.898890342,1.92019238
dish_1560975517,0.606396867,1.503916449
dish_1558641075,0.222222222,4.333333333
dish_1560455158,4.111111576,2.463744213
dish_1565972715,1.085214113,0.362826158
dish_1558639787,0.166666667,2.777777778
dish_1560203424,1.526734338,3.442007228
dish_1558724912,0.222222222,11.11111111
dish_1563913675,1.028253226,2.616916472
dish_1567542876,0.711485521,1.548380152
dish_1561753075,0.573687941,0.560143303
dish_1559244305,2.02254968,2.82282591
dish_1561577573,0.615143118,0.378188329
dish_1563550614,0.116232844,0.765747811
dish_1565204891,0.557182795,2.511455495
dish_1558115011,2.209821429,1.013392857
dish_1562776497,1.135058292,2.81684882
dish_1559675234,0.13060241,3.920481928
dish_1565638323,0.541611676,0.763633214
dish_1561405836,0.839285714,2.991071429
dish_1565898659,0.117732611,0.165690061
dish_1562169818,1.152612358,0.86045514
dish_1559934679,0.383978446,0.239043054
dish_1562698276,0.528403209,1.125175634
dish_1558718051,0.166666667,2.777777778
dish_1560368764,1.897507632,1.753778866
dish_1563563317,0.797001791,0.291823193
dish_1565895966,0.60034296,1.01554242
dish_1566933226,0.345154727,0.862310356
dish_1558458737,0.111111111,10.37037037
dish_1561392593,1.480145083,1.167709968
dish_1566416421,1.496398202,2.981116315
dish_1562009120,0.561011613,0.66899001
dish_1560444869,0.2,18
dish_1562872365,0.133333333,1.466666667
dish_1564773903,0.821578627,1.281449218
dish_1563910137,3.51991238,4.7387167
dish_1561661347,0.476357268,2.105954466
dish_1558721726,0.666666667,46.66666667
dish_1566931586,0.327960717,0.333218862
dish_1563908923,0.65625,1.34375
dish_1563552016,1.813670988,6.513923794
dish_1562784307,0.900464362,4.389711413
dish_1564761388,0.02,0.07
dish_1561576295,3.985885057,5.930501044
dish_1562876618,0.839285714,2.991071636
dish_1558722247,2.009353188,2.176454118
dish_1565640427,4.64516129,8.032258065
dish_1559841808,0.441860465,13.47286744
dish_1560788349,0.039999997,0.359999973
dish_1566847431,0.510118997,4.571036171
dish_1565726812,1.208333251,2.916666831
dish_1561061687,0.577056209,0.790524959
dish_1563996279,0.484311308,5.047556719
dish_1558115448,0.285714286,25.71428571
dish_1559843030,0.428571429,11.42857143
dish_1564073860,1.135134979,0.037837836
dish_1561739973,0.974266905,1.221184992
dish_1565811091,0.23593956,0.121234824
dish_1559240441,0.428571429,11.42857143
dish_1565984434,0.709059453,2.022663416
dish_1563811686,1.062891784,1.588870635
dish_1561060925,0.519513652,1.128254534
dish_1561663817,2.378822849,6.141243729
dish_1566922978,1.099999869,0.159999981
dish_1557861216,#DIV/0!,#DIV/0!
dish_1566316587,1.88879656,0.778084114
dish_1560367715,0.599306223,0.916783581
dish_1561575613,4.887899475,1.677730857
dish_1558639266,0.774193548,7.096774194
dish_1558723537,0.166666667,2.777777778
dish_1566317742,0.540922619,5.294643043
dish_1565195493,0.678595324,0.651892396
dish_1559235690,0.84,0.096
dish_1560529844,0.234741784,17.44600939
dish_1563220987,0.555693217,0.181335942
dish_1563913709,0.961553843,3.062807524
dish_1563305883,3.268060723,1.888708934
dish_1558639335,0.666666667,46.66666667
dish_1560454488,7.082292404,2.980130293
dish_1559933793,0.382145386,2.648530669
dish_1564159636,1.190844376,0.167658653
dish_1563984140,0.02,0.069999999
dish_1558724574,0.088235294,2.647059073
dish_1558718009,0.25,10
dish_1562873544,0.844745632,1.319811836
dish_1562945823,1.5369812,7.529423717
dish_1558725403,2.209821231,1.013392767
dish_1564516366,13.375,7.875
dish_1561752996,0.558687899,0.473206935
dish_1558381032,2.209821429,1.013392857
dish_1562774099,2.177419531,4.809475
dish_1558549150,0.285714286,25.71428571
dish_1562958629,0.812524011,1.392700807
dish_1558725253,0.166666667,2.916666667
dish_1565036821,0.690149052,1.233140244
dish_1558628921,0.222222222,11.11111111
dish_1558032156,1.135135135,0.037837838
dish_1560444892,0.2,22.53333111
dish_1561062320,0.590069354,1.443545676
dish_1560798960,0.925617769,2.205566039
dish_1561662814,5.355906641,4.36843774
dish_1560366438,1.932510755,2.366466028
dish_1565987201,0.431977588,0.25075146
dish_1563393148,0.250000144,2.977272346
dish_1562699570,0.346153846,8.846153846
dish_1566931140,2.428571429,3.308982684
dish_1560360112,1.215256362,0.593670013
dish_1566501473,0.28111313,0.345850331
dish_1560368738,2.960922741,2.996495372
dish_1558549413,2.209821345,1.013392781
dish_1558544870,0.825539568,0.795563549
dish_1562170163,0.2,26
dish_1562611522,0.839285714,2.991071429
dish_1561574368,0.65625,1.34375
dish_1562614158,0.960711247,0.463455433
dish_1562785369,0.854587835,0.536026718
dish_1563479568,2.193954763,3.699763461
dish_1562871731,0.133333333,1.466666667
dish_1562007789,0.526026319,3.917914474
dish_1567537352,3.54813891,2.116816923
dish_1563824279,5.11826544,8.065703022
dish_1567007751,0.33640553,14.83870968
dish_1568400935,0.181818182,2.409090909
dish_1558635994,0.285714286,25.71428676
dish_1562611853,1.740893412,2.855287627
dish_1566592456,0.65625,1.34375
dish_1562874250,0.975117426,0.408183772
dish_1559844683,0.122731772,10.34972055
dish_1563305354,0.616192979,0.407695889
dish_1561739805,0.80209278,3.479711931
dish_1558641954,0.222222222,4.333333333
dish_1564588688,1.414507772,0.21761658
dish_1563205953,0.257490637,2.063402822
dish_1567526738,0.02,0.070000002
dish_1568048018,1.044156532,0.238743326
dish_1558373159,1.305039109,0.503175274
dish_1561739930,0,18
dish_1565898489,13.375,7.875
dish_1560369146,0.719696568,0.413896872
dish_1562783691,0.589293701,0.356952459
dish_1565023128,2.177418945,4.809475586
dish_1559158354,0.166666667,2.916666667
dish_1562183151,1.415546004,1.976465737
dish_1562094730,0.631722495,0.301553439
dish_1562007842,0.546379157,2.208741202
dish_1567525637,19.79582144,3.854859199
dish_1561580431,0.476136023,0.807540443
dish_1560442226,0.428571429,20
dish_1557862738,0.76,0
dish_1564168695,1.896103785,0
dish_1560360102,1.215256362,0.593670013
dish_1558381742,13.375,7.875
dish_1564690167,0.713042084,1.695176793
dish_1559844479,0.323499491,21.70905392
dish_1560444948,2.174880532,3.824711574
dish_1561060787,0.382145325,2.648530491
dish_1566331801,0.276487958,0.298024083
dish_1558463429,0.285714286,25.71428571
dish_1560367952,0.845021578,1.842779979
dish_1563475953,0.451746831,1.0990805
dish_1562698209,0.591452845,0.145277856
dish_1561576026,0.891331196,1.107179402
dish_1564073677,1.257575848,2.167965555
dish_1562788010,0.619304051,3.883774622
dish_1565109606,2.500000545,18.00000436
dish_1561575661,0.803999801,0.221088941
dish_1568401302,0.647897085,1.563745576
dish_1562702853,0.71475191,0.227494539
dish_1560888930,0.328073974,0.812780714
dish_1568056046,2.102447353,7.923164485
dish_1565032748,1.34876911,1.061111632
dish_1558639089,0.285714286,25.71428571
dish_1565627751,2.500000712,18.00000142
dish_1563221495,0.42795387,0.935655163
dish_1562861174,0.79299147,0.111911687
dish_1567628099,1.934493596,3.58435734
dish_1565984345,0.61845625,1.40679841
dish_1559842326,2.146551805,1.538793103
dish_1558630288,0.557377049,0.524590164
dish_1565021104,0.833164049,1.528094521
dish_1563389042,1.331623873,11.10215918
dish_1567785165,1.526260144,0.890238963
dish_1556575558,2.39958159,3.70223152
dish_1565023157,1.14630943,0.359843168
dish_1562872223,0.1748696,0.218731025
dish_1558026756,1.044813951,1.367332455
dish_1562615153,0.789197652,0.411369601
dish_1563307575,0.707238528,0.464621399
dish_1558637865,0.774193548,7.096774194
dish_1561752535,0.644844727,0.772821894
dish_1562173247,1.34831443,1.34831443
dish_1563997327,4.540255389,2.040255073
dish_1566934120,0.714265359,0.663563593
dish_1563910639,0.359873257,0.253565059
dish_1565119418,0.83928558,2.991071429
dish_1559244649,0.483520155,0.620700153
dish_1563897338,0.25,10
dish_1562603626,1.123938774,4.363717765
dish_1561578623,0.64579922,0.822105576
dish_1565021640,0.080495045,0.507369411
dish_1560442258,1.086950621,1.399164862
dish_1563998513,0.714171254,0.95046082
dish_1564171935,0.526024479,0.711331375
dish_1566835603,2.500001553,18.00001242
dish_1565724087,0.487246801,0.189110022
dish_1562602918,0.297855166,1.786941859
dish_1559589873,0.096774194,1.064516129
dish_1564168739,1.650192749,0.560229982
dish_1564432094,1,2.666666667
dish_1558544663,0.583333333,4.9999998
dish_1562950057,1.675329212,2.423389151
dish_1564169958,0.561975191,0.696657827
dish_1562007904,0.630314572,2.268197341
dish_1562086067,0.23902439,18.98536585
dish_1560887408,0.881818256,3.000000149
dish_1561663068,1.321114883,2.969441583
dish_1565808975,0.159126365,6.182527301
dish_1562170356,1.117062871,4.342352127
dish_1563391989,0.617988757,0.283468024
dish_1566934152,0.531189496,0.387918764
dish_1568056019,2.897165992,6.575708502
dish_1558378553,2.209821429,1.013392857
dish_1560543682,3.238095792,8.571428571
dish_1562963517,1.005367433,0.384107458
dish_1566851222,0.823668576,1.821834505
dish_1566333194,0.529267473,1.02551591
dish_1562702813,3.548137119,2.116815319
dish_1558550127,2.209821429,1.013392857
dish_1559239753,1.33162421,11.1021535
dish_1561492161,5.167398367,2.089884589
dish_1558628515,0.428571429,20
dish_1561752563,0.623238747,0.841568176
dish_1562691064,1.088337758,2.945647073
dish_1559233715,0,18.00000091
dish_1562777000,1.1,0.16
dish_1566328724,0.116129032,0
dish_1563220109,0.922665492,2.794578513
dish_1562096542,2.934073097,3.315642141
dish_1562860073,1.084291625,1.047795273
dish_1562963612,0.798850575,2.390804598
dish_1562961588,0.881818182,3.000000136
dish_1558725786,0.774193548,7.096773892
dish_1565640601,0.401730191,0.284825104
dish_1565107171,0.287130512,0.946337157
dish_1563913627,1.197652731,3.196680283
dish_1561753275,0.471742211,0.765266746
dish_1558640418,0.222222222,11.11111111
dish_1561576978,0.427070033,0.188035774
dish_1563479655,0.616284638,0.913775801
dish_1564170071,0.090909091,8.181818182
dish_1559844113,1.759327093,6.682267942
dish_1561667430,0.517400237,0.605172925
dish_1560799647,0.793257531,0.79163082
dish_1568313575,1.297597705,2.126210111
dish_1559842047,0.244477912,19.84437701
dish_1562790321,1.414820606,1.062916784
dish_1559845767,0.13185307,15.90241146
dish_1565032680,5.260366665,4.94132393
dish_1561134128,0.377483444,16.06622517
dish_1560889032,0.204860144,0.313862869
dish_1566501352,1.943734015,7.839514706
dish_1558550218,1.993271955,5.742563385
dish_1560975572,0.386461318,2.877507342
dish_1562959190,1.170713021,1.984146945
dish_1566328776,0.369062315,1.007333642
dish_1563303350,0.20282354,0.294363747
dish_1563222830,0.372064809,0.704912851
dish_1560802764,0.198285743,0.2100546
dish_1561666849,1.322216324,4.135624889
dish_1563305913,2.309703488,1.639639312
dish_1562963006,0.890206047,0.306994263
dish_1563219035,0.683017506,0.630305522
dish_1560541760,0.263184755,0.210558224
dish_1562603598,1.162764083,3.454528516
dish_1561753623,0.525992196,0.360694283
dish_1566316681,2.5,17.99999916
dish_1562702132,0.936838117,0.672275034
dish_1567106693,0.1178436,0.33054001
dish_1564687090,0.859557075,1.062906133
dish_1565725244,0.269098839,0.389878742
dish_1563302447,0.569080817,0.651707114
dish_1564686657,0.839285714,2.991071344
dish_1561747075,0.587021156,0.575059932
dish_1566419635,0.453635112,1.027203345
dish_1558639630,0.774193548,7.096774487
dish_1558722068,2.209821429,1.013392857
dish_1565196260,0.02,0.07
dish_1561749857,0.448226192,0.61315349
dish_1564761457,0.389466226,1.435474728
dish_1561405034,0.689419932,0.510686482
dish_1562872150,0.096774194,1.064516129
dish_1560454539,1.234881901,4.562186353
dish_1561578373,1.076572892,2.555694986
dish_1565894910,1.173822275,3.735089165
dish_1562873224,0.908308969,0.613680258
dish_1561654326,2.177419158,4.809475543
dish_1562963033,0.991246173,0.66265022
dish_1562613403,1.037613767,0.814080398
dish_1563391681,1.023324528,0.35370969
dish_1559934645,0.65625,1.34375
dish_1563391708,0.981554459,1.134845086
dish_1562615324,0.928563934,0.830746766
dish_1565974375,1.135135131,0.037837837
dish_1563304261,0.514881756,1.352201039
dish_1560368506,0.701132415,0.50202046
dish_1563823894,0.680877337,0.59686314
dish_1558629644,0.181818182,2.409090909
dish_1559675178,0.137910448,3.782089552
dish_1562611620,0.882676085,1.540429296
dish_1563205927,0.25983154,1.088745035
dish_1562775510,0.07288984,1.631466319
dish_1562872914,0.962397921,0.320505332
dish_1566331914,0.530300167,1.009205508
dish_1562096401,0.342641055,0.248311585
dish_1561578344,1.188482577,2.878371813
dish_1563566810,1.846288989,5.128607084
dish_1562085672,0.311111111,3.133333333
dish_1565724196,1.208333333,2.916666667
dish_1561148042,0.879067129,1.128285331
dish_1566328831,0.384490257,1.099000971
dish_1562873495,0.746401919,2.155117404
dish_1562614895,0.166666667,2.916666667
dish_1558461692,2.209821317,1.013392857
dish_1565035715,0.090909091,8.181818182
dish_1566590056,0.551626465,1.01589332
dish_1568313487,0.181818182,2.409090909
dish_1563217736,0.166666667,2.916666667
dish_1566590007,0.473040935,0.937744966
dish_1558723847,2.209821223,1.013392763
dish_1558635400,0.166666667,2.777777778
dish_1566844850,0.708529499,0.851191976
dish_1560367733,0.579560022,1.189382082
dish_1568666032,0.605244409,1.805751869
dish_1565021054,1.209661814,2.203197239
dish_1560357267,1.100000055,0.160000004
dish_1557937335,0.125,18.375
dish_1561575327,0.728646097,0.778212204
dish_1564686702,1.048913043,3.072742475
dish_1563827132,0.702094772,2.85917955
dish_1567024252,1.145839979,2.168614092
dish_1563309353,0.216788493,0.171100475
dish_1561752481,0.597648482,0.614756005
dish_1565725009,13.375,7.875
dish_1558459994,0.285714286,25.71428571
dish_1564428144,2.753543151,3.267209048
dish_1561654707,1.1,0.16
dish_1562096512,5.566793967,2.791344944
dish_1564518488,0.548551217,1.267825941
dish_1565118029,0.157414205,0.423563053
dish_1558635618,0.435069568,8.865501427
dish_1566934430,0.892469901,0.766082302
dish_1565117934,0.076117445,0
dish_1558114569,0.285714286,25.71428571
dish_1559678146,0.806010042,0.504093207
dish_1560441487,0.345565749,15.35168196
dish_1560874726,0.891124686,5.113546892
dish_1563221519,0.419790342,0.997549502
dish_1562605315,1.1,0.16
dish_1565034635,5.602079608,2.027297348
dish_1561752680,0.839285663,2.991071429
dish_1568665012,0.468229938,0.463479887
dish_1568313676,0.250020414,0.362643631
dish_1558460061,0.285714286,25.71428814
dish_1558468401,7.5,4.5
dish_1566328805,0.368498662,1.090659621
dish_1568320427,0.68803384,1.467954104
dish_1563910676,0.423808969,0.277986437
dish_1563550584,0.02,0.07
dish_1560798785,0.689302755,2.11981863
dish_1565379377,0.547510459,0.861342654
dish_1565725188,0.256851846,0.359704314
dish_1563910530,0.35987333,0.253565044
dish_1565725123,0.194145833,0.313895864
dish_1566413445,0.545129578,0.442386279
dish_1558637698,0.166666667,2.777777778
dish_1563555605,1.264755634,1.597403661
dish_1559244598,4.901960784,12.74509727
dish_1561576954,0.36456142,0.204295036
dish_1567020417,0.463227016,0.508614627
dish_1561666794,0.790953545,2.55608206
dish_1561665452,0.249113032,0.343429244
dish_1566488981,0.082253916,0.634610504
dish_1566317711,0.583333333,5
dish_1562010048,0.625089114,0.145748843
dish_1560368944,0.6319296,0.157832121
dish_1562789328,0.681853078,1.710705599
dish_1563393366,0.771865225,0.800589324
dish_1564160161,0.148514851,4.851485455
dish_1565207896,0.733971239,0.759628578
dish_1560976044,0.119047619,4.547619048
dish_1560788338,0.04,0.36
dish_1564518586,0.859616132,1.640957646
dish_1565974409,0.971439655,0.106469786
dish_1561575688,0.990272884,0.86011197
dish_1568060697,3.273691518,4.053346587
dish_1558115364,0.684465273,0.671667528
dish_1565810146,4.111108318,2.463742592
dish_1557853154,0.428571429,11.42857143
dish_1563811662,0.993406871,0.795383233
dish_1563478751,0.605893431,0.723976031
dish_1565727851,0.527777689,0.316060151
dish_1558720396,0.774193548,7.096773835
dish_1563468199,0.2,26
dish_1564773876,0.840721264,0.520191095
dish_1560444724,0.272148541,15.11405836
dish_1561148021,0.898427239,1.063385905
dish_1561739623,0.147157191,4.682273969
dish_1558463690,2.026570507,1.899917821
dish_1563479526,3.65046108,4.54484555
dish_1558030435,0.932857742,2.094334872
dish_1564588719,1.395342864,0.544987587
dish_1562617939,2.022549324,2.822825419
dish_1563811463,0.116755744,0.975449281
dish_1562183125,1.832862267,1.389634311
dish_1560369403,0.716288352,0.668818136
dish_1563464651,0.846521821,4.291957647
dish_1558381860,7.5,4.5
dish_1558462106,0.285714286,25.71428571
dish_1562945879,0.525024322,5.783365188
dish_1566332040,0.137931034,1.24137931
dish_1563222775,0.782727285,1.451302901
dish_1563208459,1.158243639,3.24772596
dish_1562184663,0.909256994,0.101786519
dish_1563389626,0.665868767,0.273423648
dish_1563898722,1.010330579,0.424845084
dish_1568315988,0.6,0.2375
dish_1558723073,0.222222222,4.333333333
dish_1563309189,13.375,7.875
dish_1566316757,0.073438527,0.574945395
dish_1563827086,0.769,2.3585001
dish_1560974009,0.45877273,0.666776482
dish_1565811588,0.687343629,0.242486777
dish_1568666184,0.142857143,2.071428571
dish_1567628069,3.062636462,4.286492333
dish_1563555072,1.1,0.16
dish_1564518512,0.566522813,1.493524921
dish_1559751775,0.783635437,1.795562858
dish_1564685450,0.946000587,1.042982311
dish_1561580659,0.635814065,0.236567043
dish_1558109907,0.285714286,25.71428571
dish_1565023182,1.141537058,0.222318752
dish_1558641320,0.684070796,10.85309646
dish_1563822663,0.629206616,1.099781949
dish_1561753649,0.510130178,0.410129671
dish_1566501126,0.663554774,0.351991995
dish_1566317801,0.55111601,7.851198815
dish_1562173175,0.566921045,1.082064478
dish_1558027057,0.125,18.37500096
dish_1563909469,5.059914354,1.647257155
dish_1568400967,0.171993912,2.738203957
dish_1565726887,3.139093921,4.351171018
dish_1566590536,1.331622249,11.10214643
dish_1564516397,5.859126984,5.851190476
dish_1559841908,0.227646206,22.02609908
dish_1562876756,0.470801283,1.325136314
dish_1563309398,0.216827837,0.250296057
dish_1563217968,0.540687373,0.550932435
dish_1562007866,0.54315785,2.229854257
dish_1566850099,7.005565202,2.714255374
dish_1560370114,0.045454545,1.772727273
dish_1568061320,0.476435937,1.165645214
dish_1558549605,0.111111111,10.37037037
dish_1559320019,0.891697878,4.795880462
dish_1560887457,0.830592795,2.832878829
dish_1558724633,0.166666667,2.916666667
dish_1561578865,1.033818283,2.970082661
dish_1564170474,0.25,2.977272727
dish_1567625343,2.915838691,3.241963764
dish_1561574428,1.272249516,1.990599686
dish_1565726848,3.098268745,2.610830481
dish_1559675268,0.117062635,3.721382289
dish_1563984729,0.861723961,0.193535146
dish_1568405430,4.128084614,3.938700106
dish_1565727821,0.250123947,0.15269654
dish_1566933454,2.394078502,2.469154352
dish_1559751458,0.125,18.37499949
dish_1558468589,0.096774194,1.064516129
dish_1558641037,0.666666667,46.66666382
dish_1565898758,0.130052087,0.221061713
dish_1562614980,0.5023758,0.36801503
dish_1562702412,1.395906231,3.378517786
dish_1567542778,0.839285638,2.991071338
dish_1558468435,0.166666667,2.916666667
dish_1559059954,1.135135135,0.037837838
dish_1560368138,0.150943396,2.476010782
dish_1559238481,0.111111111,13.33333333
dish_1568665970,0.775340545,2.415565004
dish_1566931650,0.578798718,0.396219311
dish_1561061630,1.773491313,2.801762834
dish_1563294441,0.271091114,18.89088751
dish_1563910708,0.435868716,0.319213844
dish_1558547205,1.363557883,4.034741741
dish_1565897569,0.737965483,0.193571426
dish_1559841891,0.263643351,33.30668793
dish_1558641442,0.443740497,5.527115813
dish_1558031566,1.135135135,0.037837838
dish_1565034330,0.740313442,0.925020377
dish_1562786103,1.43902439,5.975609756
dish_1563306039,0.596360885,0.427653105
dish_1562614121,2.782327535,2.567127644
dish_1564171888,0.486024901,0.211996881
dish_1562949541,1.062551615,0.520768415
dish_1558114875,0.014285714,0.021428571
dish_1561666640,0.269461078,18.56287575
dish_1560539368,0.882296769,0.754616237
dish_1561665706,0.47045415,3.337674245
dish_1562010369,0.625089039,0.145748841
dish_1558636028,1.239115411,8.878829532
dish_1564685229,0.989349764,0.351503002
